Timestamp,Category,Subcategory,Manuscripts,Status,Error
2025-11-19 02:04:01,Agama dan Kepercayaan,Kebatinan dan Mistik,0,NO_DATA,
2025-11-19 02:04:06,Agama dan Kepercayaan,Kitab Suci,0,NO_DATA,
2025-11-19 02:04:12,Agama dan Kepercayaan,Suluk,0,NO_DATA,
2025-11-19 02:04:17,Agama dan Kepercayaan,Wulang,0,NO_DATA,
2025-11-19 02:04:18,Arsip dan Sejarah,Editorial,0,NO_DATA,
2025-11-19 02:04:23,Arsip dan Sejarah,Galeri,0,NO_DATA,
2025-11-19 02:04:29,Arsip dan Sejarah,Hukum dan Pemerintahan,0,NO_DATA,
2025-11-19 02:04:35,Arsip dan Sejarah,Kasunanan,0,NO_DATA,
2025-11-19 02:04:40,Arsip dan Sejarah,Mangkunagaran,0,NO_DATA,
2025-11-19 02:04:46,Arsip dan Sejarah,Mayor J F T,0,NO_DATA,
2025-11-19 02:04:51,Arsip dan Sejarah,Radya Pustaka,0,NO_DATA,
2025-11-19 02:04:57,Arsip dan Sejarah,Radya Pustaka Surat-menyurat,0,NO_DATA,
2025-11-19 02:05:03,Arsip dan Sejarah,Ranggawarsita R Ng,0,NO_DATA,
2025-11-19 02:05:08,Arsip dan Sejarah,Sasradiningrat II K R A,0,NO_DATA,
2025-11-19 02:05:14,Arsip dan Sejarah,Surakarta,0,NO_DATA,
2025-11-19 02:11:39,Agama dan Kepercayaan,Kebatinan dan Mistik,46,SUCCESS,
2025-11-19 02:13:33,Agama dan Kepercayaan,Kitab Suci,40,SUCCESS,
2025-11-19 02:14:18,Agama dan Kepercayaan,Suluk,14,SUCCESS,
2025-11-19 02:21:27,Agama dan Kepercayaan,Wulang,154,SUCCESS,
2025-11-19 02:24:25,Arsip dan Sejarah,Surat-menyurat,45,SUCCESS,
2025-11-19 02:26:44,Arsip dan Sejarah,Umum,48,SUCCESS,
2025-11-19 02:29:08,Bahasa dan Budaya,Adat dan Tradisi,52,SUCCESS,
2025-11-19 02:29:51,Bahasa dan Budaya,Bacaan Huruf Jawa,14,SUCCESS,
2025-11-19 02:31:41,Bahasa dan Budaya,Gending dan Notasi,39,SUCCESS,
2025-11-19 02:33:05,Bahasa dan Budaya,Kagunan,28,SUCCESS,
2025-11-19 02:41:17,Bahasa dan Budaya,Kamus dan Leksikon,168,SUCCESS,
2025-11-19 02:43:39,Bahasa dan Budaya,Karawitan,48,SUCCESS,
2025-11-19 02:44:36,Bahasa dan Budaya,Panembrama dan Iber,19,SUCCESS,
2025-11-19 02:45:10,Bahasa dan Budaya,Pawukon dan Primbon,10,SUCCESS,
2025-11-19 02:48:25,Bahasa dan Budaya,Pengetahuan Bahasa,68,SUCCESS,
2025-11-19 02:55:21,Bahasa dan Budaya,Wayang,149,SUCCESS,
2025-11-19 03:01:15,Kisah Cerita dan Kronikal,Babad,121,SUCCESS,
2025-11-19 03:02:50,Kisah Cerita dan Kronikal,Babad Giyanti,34,SUCCESS,
2025-11-19 03:06:01,Kisah Cerita dan Kronikal,Babad Tanah Jawi,68,SUCCESS,
2025-11-19 03:13:40,Kisah Cerita dan Kronikal,Cerita,164,SUCCESS,
2025-11-19 03:14:22,Kisah Cerita dan Kronikal,Dongeng,13,SUCCESS,
2025-11-19 03:17:14,Kisah Cerita dan Kronikal,Mahabharata,61,SUCCESS,
2025-11-19 03:20:08,Kisah Cerita dan Kronikal,Menak,60,SUCCESS,
2025-11-19 03:20:33,Kisah Cerita dan Kronikal,Novel,7,SUCCESS,
2025-11-19 03:22:14,Kisah Cerita dan Kronikal,Riwayat dan Perjalanan,36,SUCCESS,
2025-11-19 03:26:40,Kisah Cerita dan Kronikal,Serat Centhini,98,SUCCESS,
2025-11-19 03:28:10,Koran Majalah dan Jurnal,Almanak,34,SUCCESS,
2025-11-19 03:29:19,Koran Majalah dan Jurnal,Candrakanta,24,SUCCESS,
2025-11-19 03:47:20,Koran Majalah dan Jurnal,Kajawen,391,SUCCESS,
2025-11-19 03:48:03,Koran Majalah dan Jurnal,Kawi,13,SUCCESS,
2025-11-19 03:48:40,Koran Majalah dan Jurnal,Kumandang Teyosupi,11,SUCCESS,
2025-11-19 03:49:26,Koran Majalah dan Jurnal,Mardi Siwi,14,SUCCESS,
2025-11-19 03:54:23,Koran Majalah dan Jurnal,Narpawandawa,106,SUCCESS,
2025-11-19 03:57:00,Koran Majalah dan Jurnal,Pusaka Jawi,55,SUCCESS,
2025-11-19 03:58:05,Koran Majalah dan Jurnal,Sasadara,21,SUCCESS,
2025-11-19 03:58:33,Koran Majalah dan Jurnal,Umum,8,SUCCESS,
2025-11-19 03:59:02,Koran Majalah dan Jurnal,Wara Susila,8,SUCCESS,
